software_name,purl,purl_type,purl_namespace,purl_name,match_confidence,status,registry_url,last_verified_date,deprecated_at,deprecated_reason,product_id,purl_coverage_flag,data_quality_notes
Descope,,,,,,not_found,,2026-05-10,,,,,
Descope Customer & Agentic Identity Platform,,,,,,not_found,,2026-05-10,,,descope-platform,,
DFNS,,,,,,not_found,,2026-05-10,,,dfns,,
DigiCert CertCentral,,,,,,not_found,,2026-05-10,,,digicert-certcentral,,
DigiCert Code-Signing (v2026),,,,,,not_found,,2026-05-10,,,,,
DigiCert Device Trust Manager,,,,,,not_found,,2026-05-10,,,digicert-device-trust-manager,,
DigiCert ONE,,,,,,not_found,,2026-05-10,,,digicert-one,,
DigiCert SigningHub,,,,,,not_found,,2026-05-10,,,digicert-signinghub,,
DigiCert Software Trust Manager,,,,,,not_found,,2026-05-10,,,digicert-software-trust-manager,,
DigiCert Trust Lifecycle Manager,,,,,,not_found,,2026-05-10,,,digicert-trust-lifecycle-manager,,
DigiCert TrustCore SDK,,,,,,not_found,,2026-05-10,,,digicert-trustcore-sdk,,
Docker Engine 28.0,,,,,,not_found,,2026-05-10,,,docker-engine-28-0,,
DocuSign,,,,,,not_found,,2026-05-10,,,,,
DocuSign Intelligent Agreement Management (eSignature + CLM),,,,,,not_found,,2026-05-10,,,docusign-iam,,
Dogtag Certificate System,,,,,,not_found,,2026-05-10,,,dogtag-certificate-system,,
Dragos Platform,,,,,,not_found,,2026-05-10,,,dragos-platform,,
Druva Data Resiliency Cloud,,,,,,not_found,,2026-05-10,,,druva-data-resiliency-cloud,,
DuckDuckGo Browser,,,,,,not_found,,2026-05-10,,,duckduckgo-browser,,
Dyber QuantaTPM,,,,,,not_found,,2026-05-10,,,dyber-quantatpm,,
E& Nokia Quantum-Safe Network,,,,,,not_found,,2026-05-10,,,e-nokia-quantum-safe-network,,
Eclipse Jetty,pkg:github/jetty/jetty.project,github,jetty,jetty.project,exact,matched,https://github.com/jetty/jetty.project,2026-05-10,,,eclipse-jetty,,
Egnyte Governance,,,,,,not_found,,2026-05-10,,,,,
EJBCA,pkg:github/Keyfactor/ejbca-ce,github,Keyfactor,ejbca-ce,exact,matched,https://github.com/Keyfactor/ejbca-ce,2026-05-10,,,ejbca,,
Elastic Stack (ELK),,,,,,not_found,,2026-05-10,,,elastic-stack-elk,,
Element (Matrix Protocol),,,,,,not_found,,2026-05-10,,,element-matrix-protocol,,
