concept_id,display_label,source_type,source_table,source_row_id,primary_url,status,deprecated_at,deprecated_reason
standard:nist-sp-800-53,NIST-SP-800-53,standard,library,NIST-SP-800-53,https://csrc.nist.gov/pubs/sp/800/53/final,active,,
standard:nist-sp-800-56c-r2,NIST-SP-800-56C-R2,standard,library,NIST-SP-800-56C-R2,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-56Cr2.pdf,active,,
standard:nist-sp-800-57-pt1-r6,NIST-SP-800-57-Pt1-R6,standard,library,NIST-SP-800-57-Pt1-R6,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-57pt1r6.ipd.pdf,active,,
standard:nist-sp-800-63-3,NIST-SP-800-63-3,standard,library,NIST-SP-800-63-3,https://pages.nist.gov/800-63-3/,active,,
standard:nist-sp-800-90a-r1,NIST-SP-800-90A-R1,standard,library,NIST-SP-800-90A-R1,https://csrc.nist.gov/pubs/sp/800/90/a/r1/final,active,,
standard:nist-sp-800-90b,NIST-SP-800-90B,standard,library,NIST-SP-800-90B,https://csrc.nist.gov/pubs/sp/800/90/b/final,active,,
standard:nist-sp-800-90c,NIST-SP-800-90C,standard,library,NIST-SP-800-90C,https://csrc.nist.gov/pubs/sp/800/90/c/final,active,,
standard:ntnu-pqc-challenges-silde,NTNU-PQC-Challenges-Silde,standard,library,NTNU-PQC-Challenges-Silde,,active,,
standard:omb-m-23-02,OMB-M-23-02,standard,library,OMB-M-23-02,https://www.whitehouse.gov/wp-content/uploads/2022/11/M-23-02-M-Memo-on-Migrating-to-Post-Quantum-Cryptography.pdf,active,,
standard:openid4vci-spec,OpenID4VCI-Spec,standard,library,OpenID4VCI-Spec,https://openid.net/specs/openid-4-verifiable-credential-issuance-1_0.html,active,,
standard:openid4vp-spec,OpenID4VP-Spec,standard,library,OpenID4VP-Spec,https://openid.net/specs/openid-4-verifiable-presentations-1_0.html,active,,
standard:openssl-350-release,OpenSSL-3.5.0-Release,standard,library,OpenSSL-3.5.0-Release,https://www.openssl.org/news/openssl-3.5-notes.html,active,,
standard:openssl-3x-docs,OpenSSL-3x-Docs,standard,library,OpenSSL-3x-Docs,https://www.openssl.org/docs/,active,,
standard:owasp-cyclonedx-cbom-guide,OWASP-CycloneDX-CBOM-Guide,standard,library,OWASP-CycloneDX-CBOM-Guide,https://cyclonedx.org/capabilities/cbom/,active,,
standard:pkcs11-v3-oasis,PKCS11-V3-OASIS,standard,library,PKCS11-V3-OASIS,https://docs.oasis-open.org/pkcs11/pkcs11-base/v3.0/os/pkcs11-base-v3.0-os.html,active,,
standard:pkcs11-v32-oasis,PKCS11-V32-OASIS,standard,library,PKCS11-V32-OASIS,https://docs.oasis-open.org/pkcs11/pkcs11-spec/v3.2/csd01/pkcs11-spec-v3.2-csd01.html,active,,
standard:pqcc-inventory-workbook-2025,PQCC-Inventory-Workbook-2025,standard,library,PQCC-Inventory-Workbook-2025,https://pqcc.org/pqc-inventory-workbook/,active,,
standard:pqcc-migration-roadmap-2025,PQCC-Migration-Roadmap-2025,standard,library,PQCC-Migration-Roadmap-2025,https://pqcc.org/post-quantum-cryptography-migration-roadmap/,active,,
standard:proact-2025-sca-lattice-pqc,PROACT-2025-SCA-Lattice-PQC,standard,library,PROACT-2025-SCA-Lattice-PQC,https://proact-school.cs.ru.nl/assets/uploads/slides/PROACT2025.pdf,active,,
standard:qccpa-2022,QCCPA-2022,standard,library,QCCPA-2022,https://www.congress.gov/bill/117th-congress/house-bill/7535,active,,
standard:qrl-quantum-resistant-ledger,QRL-Quantum-Resistant-Ledger,standard,library,QRL-Quantum-Resistant-Ledger,,active,,
standard:quantumfinanceboardroom-ganguly-pqc-ch24-2026,QuantumFinanceBoardroom-Ganguly-PQC-Ch24-2026,standard,library,QuantumFinanceBoardroom-Ganguly-PQC-Ch24-2026,https://www.thequantumfinanceboardroom.com,active,,
standard:quantuminsider-25-companies-pqc-2026,QuantumInsider-25-Companies-PQC-2026,standard,library,QuantumInsider-25-Companies-PQC-2026,https://thequantuminsider.com/2026/03/25/25-companies-building-the-quantum-cryptography-communications-markets/,active,,
standard:radboud-mtc-thesis-2025,Radboud-MTC-Thesis-2025,standard,library,Radboud-MTC-Thesis-2025,https://www.cs.ru.nl/masters-theses/2025/M_Pohl___Implementation_and_Analysis_of_Merkle_Tree_Certificates_for_Post-Quantum_Secure_Authentication_in_TLS.pdf,active,,
standard:ref-fukuda-grand-challenge,ref-fukuda-grand-challenge,standard,library,ref-fukuda-grand-challenge,https://eprint.iacr.org/2025/1626.pdf,active,,
standard:ref-kim-ecdlp,ref-kim-ecdlp,standard,library,ref-kim-ecdlp,https://eprint.iacr.org/2026/106.pdf,active,,
standard:regev-lwe-survey,Regev-LWE-Survey,standard,library,Regev-LWE-Survey,https://cims.nyu.edu/~regev/papers/lwesurvey.pdf,active,,
standard:rfc-0793,RFC-0793,standard,library,RFC-0793,https://www.rfc-editor.org/rfc/rfc0793,active,,
standard:rfc-1847,RFC 1847,standard,library,RFC 1847,https://www.rfc-editor.org/rfc/rfc1847.html,active,,
standard:rfc-1950,RFC-1950,standard,library,RFC-1950,https://www.rfc-editor.org/rfc/rfc1950,active,,
standard:rfc-2119,RFC 2119,standard,library,RFC 2119,https://www.rfc-editor.org/rfc/rfc2119.html,active,,
standard:rfc-2397,RFC-2397,standard,library,RFC-2397,https://www.rfc-editor.org/rfc/rfc2397,active,,
standard:rfc-3370,RFC 3370,standard,library,RFC 3370,https://www.rfc-editor.org/rfc/rfc3370.html,active,,
standard:rfc-3394,RFC 3394,standard,library,RFC 3394,https://www.rfc-editor.org/rfc/rfc3394.html,active,,
standard:rfc-3560,RFC 3560,standard,library,RFC 3560,https://www.rfc-editor.org/rfc/rfc3560.html,active,,
standard:rfc-3647,RFC-3647,standard,library,RFC-3647,https://www.rfc-editor.org/rfc/rfc3647,active,,
standard:rfc-4056,RFC 4056,standard,library,RFC 4056,https://www.rfc-editor.org/rfc/rfc4056.html,active,,
standard:rfc-4210,RFC 4210,standard,library,RFC 4210,https://www.rfc-editor.org/rfc/rfc4210.html,active,,
standard:rfc-4250,RFC 4250,standard,library,RFC 4250,https://www.rfc-editor.org/rfc/rfc4250.html,active,,
standard:rfc-4251,RFC 4251,standard,library,RFC 4251,https://www.rfc-editor.org/rfc/rfc4251.html,active,,
standard:rfc-4253,RFC 4253,standard,library,RFC 4253,https://www.rfc-editor.org/rfc/rfc4253.html,active,,
standard:rfc-4255,RFC-4255,standard,library,RFC-4255,https://www.rfc-editor.org/rfc/rfc4255,active,,
standard:rfc-4301,RFC 4301,standard,library,RFC 4301,https://www.rfc-editor.org/rfc/rfc4301.html,active,,
standard:rfc-4302,RFC 4302,standard,library,RFC 4302,https://www.rfc-editor.org/rfc/rfc4302.html,active,,
standard:rfc-4303,RFC 4303,standard,library,RFC 4303,https://www.rfc-editor.org/rfc/rfc4303.html,active,,
standard:rfc-4306,RFC 4306,standard,library,RFC 4306,https://www.rfc-editor.org/rfc/rfc4306.html,active,,
standard:rfc-4346,RFC-4346,standard,library,RFC-4346,https://www.rfc-editor.org/rfc/rfc4346,active,,
standard:rfc-4718,RFC 4718,standard,library,RFC 4718,https://www.rfc-editor.org/rfc/rfc4718.html,active,,
standard:rfc-5056,RFC 5056,standard,library,RFC 5056,https://www.rfc-editor.org/rfc/rfc5056.html,active,,
standard:rfc-5083,RFC 5083,standard,library,RFC 5083,https://www.rfc-editor.org/rfc/rfc5083.html,active,,
standard:rfc-5234,RFC-5234,standard,library,RFC-5234,https://www.rfc-editor.org/rfc/rfc5234,active,,
standard:rfc-5246,RFC 5246,standard,library,RFC 5246,https://www.rfc-editor.org/rfc/rfc5246.html,active,,
standard:rfc-5280,RFC 5280,standard,library,RFC 5280,https://www.rfc-editor.org/rfc/rfc5280.html,active,,
standard:rfc-5469,RFC-5469,standard,library,RFC-5469,https://www.rfc-editor.org/rfc/rfc5469,active,,
standard:rfc-5652,RFC 5652,standard,library,RFC 5652,https://www.rfc-editor.org/rfc/rfc5652.html,active,,
standard:rfc-5741,RFC-5741,standard,library,RFC-5741,https://www.rfc-editor.org/rfc/rfc5741,active,,
standard:rfc-5751,RFC 5751,standard,library,RFC 5751,https://www.rfc-editor.org/rfc/rfc5751.html,active,,
standard:rfc-5754,RFC 5754,standard,library,RFC 5754,https://www.rfc-editor.org/rfc/rfc5754.html,active,,
standard:rfc-5763,RFC-5763,standard,library,RFC-5763,https://www.rfc-editor.org/rfc/rfc5763,active,,
standard:rfc-5869,RFC 5869,standard,library,RFC 5869,https://www.rfc-editor.org/rfc/rfc5869,active,,
